raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sh688581,688581,sh,安杰思,52.09,0.39,0.94,0.56,19.67,1.66,-0.02,-1.92,0.23,-4.07,-9.55,20140000.0,4206000000.0,2145000000.0
sh688559,688559,sh,海目星,52.08,-5.87,6.96,1.31,-19.39,5.33,-1.83,8.91,17.69,-13.55,8.36,901550000.0,12903000000.0,12903000000.0
sz300820,300820,sz,英杰电气,52.0,0.1,2.21,0.73,55.36,4.64,-1.23,-7.24,11.23,-19.51,9.35,128060000.0,11555000000.0,5813000000.0
sz001317,001317,sz,三羊马,52.0,2.62,6.97,0.81,660.0,4.37,0.52,-11.71,-0.95,-3.53,-5.64,309620000.0,4449000000.0,4446000000.0
sh688083,688083,sh,中望软件,52.0,-1.72,1.5,0.82,157.81,3.38,-3.09,1.7,14.04,-5.76,-23.26,132790000.0,8822000000.0,8822000000.0
sz301293,301293,sz,三博脑科,51.92,0.82,3.94,0.98,226.41,4.5,-0.04,-10.59,-4.84,-10.28,-11.97,353580000.0,10695000000.0,8941000000.0
sz002552,002552,sz,宝鼎科技,51.9,-6.65,9.49,0.87,84.53,12.29,0.1,-13.6,47.4,-14.61,214.35,1838140000.0,20136000000.0,19125000000.0
sz300862,300862,sz,蓝盾光电,51.8,-3.0,16.4,0.57,-100.56,4.88,-8.32,57.73,172.49,130.89,126.45,1291170000.0,9563000000.0,7845999999.999999
sz301189,301189,sz,奥尼电子,51.78,1.43,2.27,0.76,-74.74,4.08,2.88,3.42,19.86,-32.25,66.69,183090000.0,8473000000.0,8178000000.0
sh688170,688170,sh,德龙激光,51.7,-1.35,2.51,0.64,318.33,4.34,-0.15,-2.23,16.49,-27.59,64.34,134420000.0,5344000000.0,5344000000.0
sh603150,603150,sh,万朗磁塑,51.65,-0.54,1.21,0.82,45.85,2.54,1.06,-3.3,8.19,-19.26,36.64,53500000.0,4415000000.0,4415000000.0
sz300832,300832,sz,新产业,51.55,0.27,0.72,0.54,23.59,4.52,-3.93,7.37,7.87,14.12,-6.36,255830000.0,40504000000.0,35213000000.0
sh600600,600600,sh,青岛啤酒,51.54,0.59,0.51,0.92,15.27,2.24,0.33,-3.57,-7.24,-12.14,-12.42,184800000.0,70311000000.0,36548000000.0
sz301148,301148,sz,嘉戎技术,51.45,0.49,1.15,0.73,149.01,3.49,1.28,-13.91,18.52,-9.15,9.1,34780000.0,5994000000.0,3029000000.0
bj920002,920002,bj,万达轴承,51.37,-2.36,1.99,0.64,50.99,4.31,-6.63,-8.48,2.53,-13.74,-34.44,46330000.0,3272000000.0,2291000000.0
sz003036,003036,sz,泰坦股份,51.3,-0.29,2.23,0.66,266.0,7.82,-4.74,-7.13,12.75,-24.34,232.81,245610000.0,11112000000.0,11112000000.0
sh688345,688345,sh,博力威,51.28,-0.56,1.59,0.95,56.57,4.13,-5.54,-8.18,1.69,-0.08,65.42,83150000.0,5224000000.0,5199000000.0
sh688385,688385,sh,复旦微电,51.26,-1.61,1.74,0.7,47.56,6.05,-5.04,-6.46,6.41,-10.62,-30.39,485280000.0,42224000000.0,27649000000.0
sz002738,002738,sz,中矿资源,51.13,1.55,4.15,1.16,25.2,2.82,-0.68,-4.04,4.99,-14.78,-34.49,1524740000.0,37293000000.0,36354000000.0
sz000636,000636,sz,风华高科,51.01,-0.62,5.78,0.51,190.48,4.79,-9.09,-23.3,7.37,-14.71,215.25,3379410000.0,58533000000.00001,58533000000.00001
sz300726,300726,sz,宏达电子,51.0,-0.93,3.07,0.66,47.72,4.38,-1.77,-6.73,4.29,-20.6,2.18,337700000.0,21004000000.0,10936000000.0
sz301502,301502,sz,华阳智能,50.92,-1.89,2.44,0.78,132.45,3.5,2.04,-4.5,6.91,-36.93,14.63,29640000.0,2907000000.0,1205000000.0
sz300347,300347,sz,泰格医药,50.85,-2.72,2.35,0.47,56.75,2.1,-1.8,-5.31,0.14,30.15,-10.13,685600000.0,43783000000.0,28805000000.0
sz301617,301617,sz,博苑新材,50.83,1.56,2.69,0.85,51.69,4.9,8.77,2.75,12.58,-4.09,-14.81,93730000.0,8831000000.0,3504999999.9999995
sh603667,603667,sh,五洲新春,50.69,-0.3,3.79,0.86,230.28,4.92,-0.67,-10.31,0.82,-26.44,-27.44,713090000.0,19422000000.0,18563000000.0
sh688001,688001,sh,华兴源创,50.68,-1.19,1.15,0.62,210.82,7.09,-2.63,0.64,9.79,-28.43,68.22,275090000.0,23899000000.0,23899000000.0
sh601127,601127,sh,赛力斯,50.61,-0.24,0.78,0.66,67.87,2.35,0.26,-9.35,-12.74,-37.68,-57.88,617100000.0,88162000000.0,78810000000.0
sz300706,300706,sz,阿石创,50.59,-2.52,7.11,0.95,688.24,10.93,-4.02,-7.02,10.17,-1.4,49.1,410460000.0,7767000000.0,5759000000.0
sz300474,300474,sz,景嘉微,50.48,0.42,1.02,0.77,-142.64,3.89,0.76,-5.84,-2.7,-9.6,-29.76,210660000.0,26382000000.0,20519000000.0
sh600206,600206,sh,有研新材,50.33,-1.6,8.22,0.58,133.99,9.85,-14.44,-4.87,26.4,81.49,149.27,3510550000.0,42607000000.0,42607000000.0
sz300907,300907,sz,康平科技,50.27,1.09,2.99,0.67,128.58,6.02,2.51,18.95,39.72,13.63,70.93,144750000.0,4826000000.0,4826000000.0
sz000538,000538,sz,云南白药,50.25,0.5,0.36,0.8,17.06,2.28,1.01,-0.59,-3.16,1.6,-8.93,317110000.0,89659000000.0,89090000000.0
sz300679,300679,sz,电连技术,50.18,-2.18,7.91,0.87,91.53,4.23,2.45,16.13,33.81,-13.79,3.58,1410570000.0,21317000000.0,18038000000.0
sz301099,301099,sz,雅创电子,50.16,-1.78,7.52,1.07,28.85,6.01,2.93,-1.55,12.04,-9.23,52.85,436400000.0,9477000000.0,5767000000.0
sz001314,001314,sz,亿道信息,50.15,-1.86,3.0,1.22,28.64,3.18,-8.23,-10.72,4.44,-16.35,12.36,186440000.0,7151000000.000001,6224000000.0
sz300806,300806,sz,斯迪克,50.11,-1.75,5.2,0.7,391.4,13.41,7.12,0.42,21.77,-9.33,128.01,1193360000.0,31756000000.0,22884000000.0
sz301169,301169,sz,零点有数,49.98,-2.13,1.45,0.91,-106.97,8.31,-1.13,-6.09,10.7,-36.82,-0.24,52700000.0,3601000000.0,3599000000.0
sz002080,002080,sz,中材科技,49.94,1.92,2.31,0.75,41.35,4.11,-7.67,-12.39,14.49,-23.67,39.09,1920460000.0,83805000000.0,83805000000.0
sh603049,603049,sh,中策橡胶,49.9,1.32,0.59,1.17,10.23,1.73,0.71,3.57,0.83,8.24,-8.47,147470000.0,43637000000.0,25199000000.0
sz301087,301087,sz,可孚医疗,49.82,3.66,0.99,1.28,30.35,2.48,2.57,-0.26,-6.55,8.12,14.55,94630000.0,11752000000.0,9665000000.0
bj920179,920179,bj,凯德石英,49.76,-0.46,2.94,0.58,234.45,4.96,-7.23,-13.69,3.26,-23.7,29.18,87370000.0,3704999999.9999995,2972000000.0
sh688122,688122,sh,西部超导,49.73,2.96,1.73,1.56,50.61,4.47,1.84,-6.03,-4.49,-22.07,-32.96,559580000.0,32308000000.0,32308000000.0
