raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh600546,600546,sh,山煤国际,13.55,1.8,1.11,0.81,20.05,1.68,3.67,4.63,8.49,-3.66,39.19,296250000.0,26862000000.0,26862000000.0,62.0,53.7,68.0,49.7,61.8,90.0,65.7,估值因子相对较强
sh600829,600829,sh,人民同泰,10.18,0.39,6.94,1.05,41.5,1.91,-4.95,-4.77,12.49,16.34,-5.83,411210000.0,5903000000.0,5903000000.0,61.9,85.9,45.2,63.5,66.8,69.9,5.7,中期趋势靠前
sz002430,002430,sz,杭氧股份,24.13,3.92,2.38,2.18,23.9,2.41,4.01,0.88,3.34,-0.62,-18.4,557200000.0,23608000000.0,23598000000.0,61.8,51.1,53.3,72.9,72.0,79.7,61.5,成交活跃、量比与换手适中
sz300039,300039,sz,上海凯宝,5.71,1.96,6.66,1.11,23.1,1.39,1.42,-1.21,2.15,8.14,-3.71,353950000.0,5973000000.0,5234000000.0,61.8,64.6,67.8,56.1,70.3,92.3,6.5,量比与换手适中
sh600038,600038,sh,中直股份,27.82,2.28,1.34,1.51,40.94,1.3,7.79,3.61,4.08,1.16,-22.49,248370000.0,22809000000.0,18610000000.0,61.8,56.8,54.1,43.0,78.9,96.9,59.5,量比与换手适中
sz301039,301039,sz,中集车辆,8.43,1.57,1.29,0.95,18.92,1.12,4.98,5.51,2.55,9.2,-4.2,157960000.0,15799000000.0,12198000000.0,61.8,66.7,76.6,22.6,66.3,86.7,44.2,估值相对占优
sh601020,601020,sh,华钰矿业,22.29,2.25,4.27,0.93,21.36,4.32,6.91,-2.24,19.13,-10.88,-16.77,785740000.0,18277000000.0,18277000000.0,61.7,44.2,43.9,81.5,85.1,96.4,50.1,成交活跃、量比与换手适中
sz000893,000893,sz,亚钾国际,48.29,4.12,2.17,1.06,24.51,3.23,0.15,2.31,-5.92,3.4,0.9,845300000.0,44622000000.0,39202000000.0,61.6,43.4,45.9,82.4,75.7,76.9,79.7,成交活跃、量比与换手适中、市值稳定性较高
sh603950,603950,sh,长源东谷,65.54,0.94,3.3,1.32,54.23,6.77,13.35,13.55,24.18,-2.08,127.41,698220000.0,21244000000.0,21226000000.0,61.5,66.3,14.8,78.4,90.4,77.7,56.1,成交活跃、量比与换手适中
sh603758,603758,sh,秦安股份,12.68,4.62,10.19,1.45,46.8,2.13,9.69,-9.1,38.88,15.9,-27.08,546510000.0,5492000000.0,5492000000.0,61.5,93.0,39.3,72.4,50.2,69.7,3.2,中期趋势靠前、成交活跃
sz002807,002807,sz,江阴银行,4.09,1.49,1.8,0.95,5.35,0.55,3.54,4.34,0.99,0.49,1.11,198460000.0,11074000000.0,11057000000.0,61.5,49.4,98.5,32.7,70.3,85.6,29.4,估值相对占优、量比与换手适中
sz300244,300244,sz,迪安诊断,19.03,-2.21,5.28,0.66,44.69,1.83,-2.01,-8.33,13.34,9.82,22.71,509180000.0,11893000000.0,9543000000.0,61.4,82.1,44.3,71.5,71.0,32.7,32.2,中期趋势靠前、成交活跃、量比与换手适中
sh601677,601677,sh,明泰铝业,16.78,2.38,2.29,1.04,8.6,1.03,-0.77,-1.7,1.94,-13.79,15.13,477830000.0,20862000000.0,20862000000.0,61.4,18.8,93.0,69.0,76.2,98.3,55.8,估值相对占优、量比与换手适中
sz000932,000932,sz,华菱钢铁,3.74,2.19,1.58,1.72,23.56,0.47,4.47,1.08,-4.59,-3.11,-31.5,402100000.0,25629000000.000004,25629000000.000004,61.4,31.2,76.1,62.7,76.0,95.6,64.1,估值相对占优、量比与换手适中
sh603055,603055,sh,台华新材,9.27,1.31,1.25,1.52,14.0,1.5,5.22,5.34,8.55,10.49,0.11,102830000.0,8253000000.0,8236000000.0,61.4,78.4,79.9,0.9,77.9,83.0,18.0,中期趋势靠前、估值相对占优、量比与换手适中
sz300012,300012,sz,华测检测,14.98,-0.79,2.01,0.65,22.65,3.15,-0.07,6.62,7.08,3.96,12.21,433610000.0,25209000000.0,21451000000.0,61.3,67.5,49.0,65.1,65.2,53.0,64.0,趋势因子相对较强
sh601216,601216,sh,君正集团,4.63,3.58,1.09,2.28,12.75,1.42,5.95,2.21,-2.32,-3.74,4.28,424950000.0,39068000000.0,39068000000.0,61.3,33.1,83.4,64.4,59.6,84.6,76.4,估值相对占优、市值稳定性较高
sz002128,002128,sz,电投能源,27.53,2.49,0.52,1.5,12.02,1.63,1.18,0.4,2.88,-12.32,3.46,317580000.0,86072000000.0,61711000000.0,61.3,24.4,81.3,52.3,72.7,99.9,89.8,估值相对占优、量比与换手适中、市值稳定性较高
sh600388,600388,sh,紫金龙净,18.0,3.33,1.2,1.38,18.68,2.09,3.39,-0.55,1.18,1.29,12.99,271870000.0,22861000000.0,22861000000.0,61.3,51.9,63.8,46.1,75.3,88.1,59.7,量比与换手适中
sz002120,002120,sz,韵达股份,6.68,1.06,1.26,1.37,11.8,0.92,0.75,-1.47,-2.2,0.13,2.13,237600000.0,19367000000.0,18805000000.0,61.3,41.2,90.9,41.3,75.5,79.4,53.1,估值相对占优、量比与换手适中
sz300832,300832,sz,新产业,51.55,0.27,0.72,0.54,23.59,4.52,-3.93,7.37,7.87,14.12,-6.36,255830000.0,40504000000.0,35213000000.0,61.2,80.4,40.3,43.9,52.6,68.1,77.5,中期趋势靠前、市值稳定性较高
sh600888,600888,sh,新疆众和,10.41,0.19,3.37,0.84,20.38,1.25,6.33,2.76,14.02,-11.03,29.16,546690000.0,16168000000.0,16168000000.0,61.1,40.9,73.7,72.6,80.2,67.0,45.2,估值相对占优、成交活跃、量比与换手适中
sz000989,000989,sz,九芝堂,9.02,1.92,4.21,0.89,23.47,2.1,-2.38,-3.84,0.11,10.54,6.96,281350000.0,7720999999.999999,6623000000.0,61.1,63.5,57.2,48.1,84.6,91.7,15.0,量比与换手适中
sz000657,000657,sz,中钨高新,63.01,-1.25,4.13,0.68,51.07,12.73,-4.76,-10.54,19.93,-4.93,129.29,3812900000.0,143575000000.0,91582000000.0,61.0,58.4,12.7,98.2,80.5,46.4,94.2,成交活跃、量比与换手适中、市值稳定性较高
sz300319,300319,sz,麦捷科技,17.62,-0.9,7.98,0.6,49.18,3.17,3.65,1.38,18.41,8.75,52.12,1198990000.0,15638999999.999998,14999000000.0,61.0,84.0,29.0,88.2,48.5,51.4,43.6,中期趋势靠前、成交活跃
sh600968,600968,sh,海油发展,3.9,-2.74,0.82,1.85,10.11,1.33,-3.94,0.78,0.78,1.22,5.61,320360000.0,39644000000.0,39644000000.0,61.0,50.7,88.2,52.7,67.1,25.1,77.0,估值相对占优、市值稳定性较高
sh603529,603529,sh,爱玛科技,21.95,2.71,1.1,1.37,12.76,1.94,4.77,3.73,1.39,0.18,-24.72,204320000.0,18970000000.0,18674000000.0,61.0,49.2,75.6,34.3,74.3,97.0,51.4,估值相对占优、量比与换手适中
sh601001,601001,sh,晋控煤业,18.13,2.43,1.14,0.76,18.3,1.63,5.41,3.84,10.75,-9.81,43.85,346910000.0,30344000000.0,30344000000.0,60.9,41.4,70.9,55.4,60.9,99.0,69.3,估值相对占优
sz002500,002500,sz,山西证券,5.49,3.39,1.46,3.73,21.19,1.07,5.98,2.62,2.23,7.65,-7.11,286690000.0,19708000000.0,19708000000.0,60.9,64.4,74.6,48.8,35.0,87.3,53.4,估值相对占优
sz300054,300054,sz,鼎龙股份,72.19,0.0,2.66,0.74,73.42,12.25,-3.15,-6.95,3.72,7.2,92.51,1427310000.0,68914000000.0,53740000000.0,60.8,66.6,5.9,90.7,72.4,64.3,86.9,成交活跃、量比与换手适中、市值稳定性较高
sz002537,002537,sz,海联金汇,6.28,0.16,6.48,1.67,23.99,1.65,14.18,6.08,9.79,-0.48,-30.68,474920000.0,7373000000.0,7351000000.000001,60.8,61.3,62.8,68.8,76.7,66.6,13.5,量比与换手适中
sz300401,300401,sz,花园生物,14.28,-2.72,4.82,0.74,28.27,2.34,-1.31,-8.46,14.42,18.41,-4.84,367450000.0,7780000000.0,7655000000.0,60.8,89.0,49.9,57.4,76.5,25.4,15.5,中期趋势靠前、量比与换手适中
sh600155,600155,sh,华创云信,6.13,3.2,2.43,2.8,53.7,0.68,6.98,2.34,3.72,7.73,-7.4,328850000.0,13569000000.0,13569000000.0,60.8,67.4,55.0,53.6,58.4,90.0,37.3,趋势因子相对较强
sh600395,600395,sh,盘江股份,5.58,1.82,2.23,1.04,30.1,1.13,6.69,9.63,16.01,-4.12,21.3,264440000.0,11978000000.0,11978000000.0,60.8,58.9,63.7,45.1,75.7,90.3,32.4,量比与换手适中
sz300154,300154,sz,瑞凌股份,12.34,2.83,5.05,0.93,58.5,3.24,4.66,31.28,64.31,28.94,27.88,195180000.0,5548000000.0,3892000000.0,60.8,98.0,24.3,31.9,78.9,95.3,3.5,中期趋势靠前、量比与换手适中
sz300613,300613,sz,富瀚微,65.96,-1.35,4.51,1.02,71.32,5.3,-7.28,-15.23,12.27,12.98,43.45,653200000.0,15362000000.0,14491000000.0,60.7,83.7,12.2,77.4,85.2,45.0,42.8,中期趋势靠前、成交活跃、量比与换手适中
