raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sz300061,300061,sz,旗天科技,6.11,-3.17,2.13,0.95,-53.17,8.68,-8.4,-9.35,1.16,-34.23,-41.92,81490000.0,4026000000.0,3801000000.0
sz300426,300426,sz,华智数媒,6.1,-1.29,2.55,0.5,-9.49,17.85,-8.27,-6.15,15.53,-7.29,-20.98,62290000.0,2747000000.0,2440000000.0
sz002107,002107,sz,沃华医药,6.1,-2.4,1.57,0.72,29.69,5.51,-5.03,-1.34,4.22,-3.98,2.06,54780000.0,3521000000.0,3486000000.0
sz000978,000978,sz,桂林旅游,6.1,-0.16,1.37,0.99,232.51,2.67,0.16,-1.13,7.02,-8.27,-15.75,39170000.0,2856000000.0,2856000000.0
sh600628,600628,sh,新世界,6.1,-0.33,0.71,0.62,57.54,0.93,-2.71,-0.81,4.99,-4.39,-21.99,28100000.0,3946000000.0,3946000000.0
sh600583,600583,sh,海油工程,6.1,-0.33,0.98,0.5,12.98,0.93,8.73,9.91,10.31,12.67,15.22,262490000.0,26970000000.0,26970000000.0
sz300290,300290,sz,ST荣科,6.09,-2.25,3.03,0.65,-104.53,5.3,2.53,1.84,49.63,-45.36,-77.87,118210000.0,3896000000.0,3895000000.0000005
sz002696,002696,sz,百洋股份,6.09,2.35,5.18,0.68,124.87,1.57,-2.87,1.0,22.78,4.46,-13.25,104400000.0,2105999999.9999998,2036000000.0
sz000610,000610,sz,*ST西旅,6.09,0.5,1.03,0.91,-4.91,-12.76,1.5,3.4,15.12,-17.03,-51.12,14790000.0,1442000000.0,1434000000.0
bj920496,920496,bj,许昌智能,6.09,-1.46,0.85,0.86,102.18,1.79,-4.09,-6.74,0.33,-22.91,-39.04,7540000.0,1008000000.0,883000000.0
sz002148,002148,sz,北纬科技,6.08,-1.94,2.53,0.86,1475.6,2.77,-8.43,-7.32,3.93,-8.3,-31.69,69580000.0,3397000000.0,2742000000.0
sz000713,000713,sz,国投丰乐,6.08,3.4,3.63,0.75,77.22,1.57,2.88,3.58,9.16,3.93,-7.74,134540000.0,4853000000.0,3733000000.0
sh688033,688033,sh,*ST天宜,6.08,2.18,0.81,1.24,-1.53,2.58,-0.16,-1.62,-3.49,-21.95,-21.04,26870000.0,3418000000.0,3418000000.0
sh603535,603535,sh,嘉诚国际,6.08,-3.95,1.35,1.42,-159.6,1.25,-4.7,-5.74,2.88,-16.25,-43.12,42110000.0,3106000000.0,3106000000.0
sh601766,601766,sh,中国中车,6.08,0.66,0.47,0.73,12.53,0.99,1.84,3.93,4.83,7.61,-9.25,693160000.0,174489000000.0,147913000000.0
sh600821,600821,sh,金开新能,6.08,2.53,4.08,0.87,-312.2,1.33,-9.79,-7.18,-8.43,-25.03,19.22,493460000.0,11961000000.0,11961000000.0
bj920974,920974,bj,凯大催化,6.07,-0.82,0.84,0.8,29.35,1.51,-1.3,-2.57,5.75,-15.46,-23.07,6430000.0,994000000.0,762000000.0
sz002617,002617,sz,露笑科技,6.06,-1.62,3.05,0.71,62.58,1.8,-5.61,-5.02,2.19,-34.34,-25.19,346400000.0,11570000000.0,11378000000.0
sh600973,600973,sh,宝胜股份,6.06,-0.16,0.75,0.62,-492.32,2.45,-2.88,-3.81,3.41,-12.93,-16.99,62160000.0,8309999999.999999,8309999999.999999
sh600903,600903,sh,贵州燃气,6.06,-0.82,2.41,0.77,91.62,2.24,-3.96,-6.05,1.51,-35.09,-8.13,169280000.0,7054000000.000001,7054000000.000001
sh600226,600226,sh,亨通股份,6.06,-2.42,3.53,0.68,88.95,4.86,-6.77,0.17,5.57,-5.16,13.7,632740000.0,18025000000.0,18025000000.0
sz300240,300240,sz,飞力达,6.05,-0.49,2.17,0.63,503.49,1.56,3.42,5.4,19.09,2.54,-19.55,47470000.0,2248000000.0,2198000000.0
sh603982,603982,sh,泉峰汽车,6.05,-0.82,1.1,0.94,-6.46,1.04,-1.79,-0.66,13.08,-10.37,-27.72,22620000.0,2209000000.0,2054000000.0
