raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
bj920857,920857,bj,泓禧科技,21.59,1.65,0.89,0.99,-37.81,4.69,3.8,11.92,25.16,0.61,-38.99,14060000.0,1598000000.0,1598000000.0
bj920491,920491,bj,奥迪威,21.56,2.18,0.93,1.04,36.14,2.92,-6.63,-3.23,-4.43,-17.49,-27.19,23040000.0,3043000000.0,2497000000.0
sh603137,603137,sh,恒尚节能,21.55,-1.91,4.71,0.87,-85.01,3.29,-19.5,-28.97,-15.46,67.31,56.84,185800000.0,3942000000.0,3942000000.0
sz301584,301584,sz,建发致新,21.53,0.98,2.26,0.55,32.33,4.18,-9.08,-7.91,1.99,-7.72,-25.81,26030000.0,9070000000.0,1156000000.0
sz300031,300031,sz,宝通科技,21.51,0.05,1.7,0.84,34.25,2.23,-2.93,-1.06,16.97,-11.88,-4.95,127590000.0,9007000000.0,7569000000.0
sz300702,300702,sz,天宇股份,21.5,0.09,0.56,0.71,78.16,2.04,-4.44,-4.74,7.07,11.69,-8.7,25000000.0,7481999999.999999,4524000000.0
sh603193,603193,sh,润本股份,21.5,3.97,3.38,1.55,24.71,3.72,0.75,-0.65,2.48,-11.6,-10.3,73970000.0,8699000000.0,2222000000.0
sz000048,000048,sz,京基智农,21.47,-2.85,1.17,0.83,-20.24,3.27,-9.06,-2.14,18.42,55.69,21.99,132930000.0,11383000000.0,11364000000.0
sh603508,603508,sh,思维列控,21.47,0.33,0.26,0.65,14.35,1.99,-0.37,-2.67,-3.55,-4.7,-21.34,21480000.0,8186000000.0,8186000000.0
sz301111,301111,sz,粤万年青,21.46,1.85,1.87,0.54,-788.67,4.64,-10.02,7.95,19.22,-20.07,13.07,63130000.0,3434000000.0000005,3434000000.0000005
sh603057,603057,sh,紫燕食品,21.45,0.52,0.21,0.81,29.27,4.25,-4.45,-7.74,5.1,-17.82,6.4,18410000.0,8904000000.0,8837000000.0
sz301587,301587,sz,中瑞股份,21.44,1.08,2.46,1.58,50.27,1.58,0.14,-0.65,6.03,-22.18,-8.38,38650000.0,3159000000.0,1575000000.0
sz300740,300740,sz,水羊股份,21.41,6.73,5.57,1.43,66.71,4.32,1.47,-4.12,15.48,-13.74,-9.82,477670000.0,9418000000.0,8756000000.0
sh688004,688004,sh,博汇科技,21.38,0.85,1.14,0.68,-64.94,3.05,-7.84,-9.33,-2.33,-1.75,-7.57,19480000.0,1712000000.0,1712000000.0
bj920790,920790,bj,联迪信息,21.38,3.19,2.69,1.35,-184.79,5.68,-4.68,-8.9,4.29,9.3,-35.02,31190000.0,1688000000.0,1162000000.0
sh600690,600690,sh,海尔智家,21.37,2.05,0.32,0.96,10.71,1.71,2.86,1.15,-0.72,5.76,-15.25,427960000.0,200400000000.0,133627000000.0
sh603607,603607,sh,京华激光,21.36,-0.33,0.77,0.7,35.74,3.8,-4.69,-3.91,6.8,-1.7,-20.3,29260000.0,3813000000.0000005,3813000000.0000005
sh601858,601858,sh,中国科传,21.36,-1.75,0.57,1.0,34.7,3.09,-9.49,-13.1,22.41,-14.3,19.7,97240000.0,16885000000.0,16885000000.0
sh603529,603529,sh,爱玛科技,21.35,-2.06,0.65,1.95,12.41,1.89,3.49,0.66,0.14,-4.39,-26.77,117630000.0,18452000000.0,18164000000.0
sz002491,002491,sz,通鼎互联,21.27,2.21,16.21,1.56,121.26,9.79,9.24,24.17,37.23,-8.32,254.5,3977480000.0,26162000000.0,25023000000.0
bj920107,920107,bj,恒兴股份,21.26,2.71,8.82,0.61,15.83,1.72,-11.67,32.71,32.71,32.71,32.71,35140000.0,1782999999.9999998,401000000.0
sh600570,600570,sh,恒生电子,21.25,0.52,0.5,0.95,30.06,4.19,-2.03,-6.8,-0.33,-13.09,-29.05,202310000.0,40240000000.0,40240000000.0
bj920188,920188,bj,悦龙科技,21.24,0.62,0.6,0.47,19.06,2.21,-4.15,-7.85,-0.65,-16.25,56.87,2510000.0,1763000000.0,420000000.0
sz301379,301379,sz,天山电子,21.23,-1.26,3.09,0.79,46.81,4.12,-12.63,-4.28,0.71,-5.83,15.42,142250000.0,5891000000.0,4643000000.0
sz300681,300681,sz,英搏尔,21.2,-0.28,1.28,0.98,27.99,2.11,-5.61,-0.75,4.74,-33.25,-15.19,62280000.0,6488000000.0,4893000000.0
sh688251,688251,sh,井松智能,21.17,2.37,1.04,1.59,143.41,2.54,-4.85,-0.98,11.3,-17.43,-27.87,21560000.0,2130000000.0,2114999999.9999998
sz002810,002810,sz,山东赫达,21.16,-2.31,1.27,1.23,30.48,3.25,0.09,2.67,8.9,-9.73,44.61,86440000.0,7364000000.0,6834999999.999999
sz002056,002056,sz,横店东磁,21.16,-0.7,0.55,0.71,19.34,3.25,-8.6,-6.54,1.1,-10.86,11.9,187130000.0,34421000000.0,34385000000.0
sh603698,603698,sh,航天工程,21.16,-0.19,1.02,0.58,50.72,3.26,-12.67,-9.53,-1.4,-34.55,-45.29,114780000.0,11342000000.0,11342000000.0
sz001388,001388,sz,信通电子,21.14,0.91,1.37,0.75,48.95,3.45,-5.58,-11.44,-0.09,-7.41,-26.28,36080000.0,4942000000.0,2645000000.0
sh688129,688129,sh,东来技术,21.14,1.29,0.48,1.33,24.93,2.54,-0.8,-1.21,13.66,-26.07,5.83,12300000.0,2547000000.0,2547000000.0
sz300722,300722,sz,新余国科,21.13,1.78,0.42,1.02,71.37,9.35,-2.72,-3.78,1.2,-11.4,-40.21,24430000.0,5848000000.0,5848000000.0
sz002886,002886,sz,沃特股份,21.12,3.13,8.79,2.64,75.72,3.0,3.33,8.31,19.19,-28.48,-2.43,385840000.0,5559000000.0,4416000000.0
sz301279,301279,sz,金道科技,21.11,0.91,0.91,1.22,54.65,2.65,-0.14,2.18,28.48,-8.02,-20.17,24990000.0,3558000000.0,2755000000.0
sh603992,603992,sh,松霖科技,21.1,-0.14,0.38,0.89,36.61,2.63,-3.52,-7.66,-7.62,-28.47,-48.1,35520000.0,9348000000.0,9348000000.0
sz300204,300204,sz,舒泰神,21.08,0.38,2.81,0.8,-126.94,5.61,-13.04,-12.2,-7.46,-14.83,-22.84,266820000.0,11412000000.0,9563000000.0
bj920078,920078,bj,族兴新材,21.07,-1.95,7.54,1.64,31.39,2.59,9.17,7.66,13.28,-33.99,206.25,61030000.0,2528000000.0,821000000.0000001
sz300889,300889,sz,爱克股份,21.06,1.35,1.28,1.1,-49.83,3.29,-4.92,-4.27,21.38,-8.63,1.74,39680000.0,4638000000.0,3136000000.0
sh688128,688128,sh,中国电研,21.06,-2.36,0.6,2.73,15.78,2.37,-6.32,-6.02,-1.68,-16.16,-26.18,51410000.0,8519000000.0,8519000000.0
sh688426,688426,sh,康为世纪,21.05,-0.8,1.23,0.76,-23.67,1.77,8.95,7.73,34.42,10.85,-11.67,28740000.0,2368000000.0,2362000000.0
sz002730,002730,sz,电光科技,21.02,0.72,1.02,1.01,111.44,4.72,-6.41,-6.16,-2.95,-28.72,40.7,73190000.0,7611000000.0,7273999999.999999
sz300898,300898,sz,熊猫乳品,21.0,2.84,1.91,1.28,23.4,2.7,-4.85,-2.14,11.82,-6.46,-20.24,45360000.0,2604000000.0,2410000000.0
sh688191,688191,sh,智洋创新,21.0,-1.41,1.1,1.05,110.73,7.9,-9.68,-3.05,10.76,-41.55,-8.64,75260000.0,6888000000.0,6888000000.0
bj920403,920403,bj,康农种业,20.99,5.53,9.4,1.3,27.21,4.22,-11.25,13.58,19.87,12.08,2.21,129530000.0,2294000000.0,1364000000.0
