raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sz000060,000060,sz,中金岭南,6.49,-2.55,1.59,1.35,27.92,1.46,-2.26,-2.99,5.19,-14.89,11.99,461920000.0,28823000000.0,28823000000.0,51.5,19.3,70.3,71.1,77.7,27.9,65.9,估值相对占优、成交活跃、量比与换手适中
sz000823,000823,sz,超声电子,14.56,-0.61,2.93,0.78,39.18,1.55,-7.67,-1.49,12.87,-8.49,8.98,250560000.0,8663000000.0,8662000000.0,51.4,44.7,60.3,49.0,75.4,55.6,17.3,量比与换手适中
sh601969,601969,sh,海南矿业,9.38,0.11,0.92,2.36,27.99,2.62,-1.26,1.52,8.82,-3.89,-20.51,172680000.0,18615000000.0,18502000000.0,51.4,51.7,56.8,30.9,56.5,65.9,49.0,估值因子相对较强
sz000523,000523,sz,红棉股份,3.28,6.84,8.17,1.63,52.39,3.07,7.89,12.33,18.84,0.0,-13.0,358860000.0,6020000000.0,4347000000.0,51.3,68.4,37.4,62.0,64.3,38.0,5.9,趋势因子相对较强
sz002223,002223,sz,鱼跃医疗,26.28,1.12,0.55,0.95,23.48,1.98,1.0,-2.12,-2.3,-1.2,-30.12,134650000.0,26345000000.0,24763000000.0,51.3,38.7,68.5,17.3,60.5,80.3,63.2,估值因子相对较强
sz300623,300623,sz,捷捷微电,29.34,-1.61,2.24,0.89,46.27,3.93,-0.81,10.09,19.12,-11.87,8.59,497970000.0,24413000000.0,22523000000.0,51.2,40.5,34.6,73.8,72.4,41.3,60.6,成交活跃、量比与换手适中
sh603082,603082,sh,北自科技,42.33,1.1,12.27,2.13,48.23,4.03,-2.94,2.17,9.98,22.02,16.58,211190000.0,7051000000.000001,1717000000.0000002,51.2,81.5,32.5,43.3,30.8,80.0,11.6,中期趋势靠前
sz002555,002555,sz,三七互娱,18.48,0.43,0.6,0.67,12.68,3.11,-3.55,-5.71,0.65,-6.39,-19.63,176280000.0,40882000000.0,29333999999.999996,51.2,30.1,72.6,31.7,54.6,70.4,77.0,估值相对占优、市值稳定性较高
sh603132,603132,sh,金徽股份,18.22,-2.83,0.58,1.45,25.53,5.81,-3.24,-2.41,23.27,6.61,29.13,104290000.0,17819000000.0,17819000000.0,51.2,81.6,41.6,3.0,72.0,23.9,47.8,中期趋势靠前、量比与换手适中
sz300398,300398,sz,飞凯材料,34.42,-2.1,2.34,0.84,48.82,3.9,-10.36,-6.16,4.18,-1.84,54.11,450830000.0,19621000000.0,19514000000.0,51.1,49.3,32.8,69.7,72.1,34.3,50.6,量比与换手适中
sz000751,000751,sz,锌业股份,5.09,-3.78,3.99,1.98,72.53,2.24,0.2,-0.97,16.74,-2.3,24.75,330960000.0,8223999999.999999,8223999999.999999,51.1,63.4,36.1,59.1,89.1,10.3,16.1,量比与换手适中
sz000612,000612,sz,焦作万方,10.88,-2.07,1.51,1.24,9.13,1.77,-3.12,-5.72,3.32,-7.64,1.73,197090000.0,12971000000.0,12971000000.0,51.1,31.9,88.6,38.0,74.6,34.7,34.4,估值相对占优、量比与换手适中
sh688019,688019,sh,安集科技,233.5,-3.64,1.64,0.98,64.83,11.74,-14.46,-5.08,-7.71,13.48,39.61,872190000.0,53321000000.0,53321000000.0,51.0,53.1,11.3,86.0,69.8,12.3,82.1,成交活跃、市值稳定性较高
sz301099,301099,sz,雅创电子,50.18,4.37,8.28,2.82,28.86,6.01,-6.03,0.0,9.35,0.29,52.91,473810000.0,9480000000.0,5769000000.0,50.9,59.6,37.2,71.5,36.7,73.3,20.5,成交活跃
sh600637,600637,sh,东方明珠,8.32,4.0,1.54,3.02,40.22,0.94,3.1,1.96,4.13,-13.33,-14.4,429620000.0,27970999999.999996,27970999999.999996,50.9,20.6,65.3,68.5,46.5,78.6,65.6,流动性因子相对较强
sh600312,600312,sh,平高电气,20.01,-0.84,0.63,0.75,21.35,2.29,-0.25,1.11,5.82,-5.51,16.29,171710000.0,27152000000.0,27152000000.0,50.9,42.0,67.6,30.7,56.6,52.3,64.2,估值因子相对较强
sh600191,600191,sh,华资实业,11.3,3.39,2.13,1.67,79.74,3.21,3.57,13.57,19.45,4.46,-11.91,115860000.0,5480000000.0,5480000000.0,50.9,77.6,25.0,9.1,81.5,87.3,2.6,中期趋势靠前、量比与换手适中
sh603969,603969,sh,银龙股份,7.47,5.21,2.97,2.58,14.97,2.2,1.36,4.62,7.79,-6.51,-25.6,186440000.0,6509999999.999999,6361000000.0,50.5,42.2,78.0,33.7,67.6,61.3,8.7,估值相对占优
sz000833,000833,sz,粤桂股份,20.9,-1.74,3.23,0.93,18.46,3.76,-3.69,3.67,9.71,-12.26,8.4,309950000.0,16763999999.999998,9482000000.0,50.4,30.7,60.6,55.7,81.1,39.4,45.7,量比与换手适中
sz002262,002262,sz,恩华药业,21.66,-0.87,0.59,0.66,20.05,2.62,-6.23,-3.95,1.79,4.84,-8.72,114160000.0,22002000000.0,19143000000.0,50.4,56.4,66.7,8.1,54.3,51.9,55.5,估值因子相对较强
sh603650,603650,sh,彤程新材,61.42,-3.96,1.68,0.87,62.99,9.01,-12.97,-5.04,-5.1,20.69,40.74,629300000.0,37839000000.0,37748000000.0,50.3,58.1,14.1,78.1,67.6,7.7,74.2,成交活跃、市值稳定性较高
sz002430,002430,sz,杭氧股份,23.18,1.4,0.63,1.04,22.96,2.32,-3.34,-2.44,2.2,-5.7,-21.61,142330000.0,22678000000.0,22669000000.0,50.3,35.5,65.5,19.7,63.2,84.3,56.7,估值因子相对较强
sz000968,000968,sz,蓝焰控股,7.16,1.42,1.81,1.11,23.25,1.09,0.85,-1.24,8.32,-8.21,9.15,125060000.0,6927000000.0,6927000000.0,50.3,38.9,79.4,13.8,74.0,84.6,10.6,估值相对占优、量比与换手适中
sh688278,688278,sh,特宝生物,59.87,0.67,0.51,0.48,22.63,7.87,-0.48,-0.99,3.96,6.91,-27.92,124640000.0,24438000000.0,24438000000.0,50.2,63.1,41.5,13.6,49.6,73.9,60.8,趋势因子相对较强
