raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sh688353,688353,sh,华盛锂电,91.0,2.85,2.16,1.24,48.46,3.98,-8.9,-4.61,-2.18,8.05,-19.96,311130000.0,14515000000.0,14515000000.0,55.5,51.0,29.9,60.2,79.7,95.0,37.1,量比与换手适中
sz002458,002458,sz,益生股份,8.92,0.79,1.72,1.03,27.35,2.88,-1.68,-11.61,6.04,8.87,40.89,147770000.0,12766000000.0,8620000000.0,55.5,67.6,51.8,22.9,71.5,75.6,31.7,量比与换手适中
sh600598,600598,sh,北大荒,13.09,-0.68,2.02,1.05,19.26,3.06,-5.56,8.63,7.3,-9.66,-9.1,472480000.0,23270000000.0,23270000000.0,55.4,32.8,60.6,73.7,74.3,54.6,57.9,成交活跃、量比与换手适中
sz300109,300109,sz,新开源,15.47,-2.09,3.02,0.79,58.66,2.67,16.14,13.75,24.36,8.17,11.24,245630000.0,8924000000.0,8058000000.0,55.4,81.8,34.0,49.3,76.3,34.4,17.4,中期趋势靠前、量比与换手适中
sh600388,600388,sh,紫金龙净,17.88,2.64,0.71,2.15,18.56,2.08,2.7,-1.22,0.51,0.62,12.23,161880000.0,22708000000.0,22708000000.0,55.4,43.2,70.0,27.2,59.5,98.0,56.1,估值相对占优
sz002120,002120,sz,韵达股份,6.7,1.36,0.84,2.36,11.84,0.92,1.06,-1.18,-1.9,0.43,2.43,157690000.0,19425000000.0,18861000000.0,55.4,37.7,92.5,26.0,55.8,83.7,49.5,估值相对占优
sh605198,605198,sh,安德利,65.78,2.67,0.81,1.1,87.06,8.12,5.72,-1.25,17.15,18.14,76.26,144010000.0,21983000000.0,17796000000.0,55.4,87.0,5.6,21.0,65.9,97.6,53.6,中期趋势靠前
sz002807,002807,sz,江阴银行,4.08,1.24,0.99,1.37,5.34,0.54,3.29,4.08,0.74,0.25,0.87,109280000.0,11047000000.0,11030000000.0,55.4,43.4,99.2,4.8,73.4,82.0,26.0,估值相对占优、量比与换手适中
sz002185,002185,sz,华天科技,16.73,-0.65,2.6,1.06,42.9,2.93,-3.63,-8.58,0.97,-8.62,52.81,1446050000.0,55657000000.00001,55644000000.00001,55.3,24.5,40.1,94.1,79.1,55.0,84.4,成交活跃、量比与换手适中、市值稳定性较高
sz000878,000878,sz,云南铜业,17.26,6.74,3.51,4.68,30.98,2.34,8.28,3.48,11.14,-9.16,-14.89,1195960000.0,41859000000.0,34582000000.0,55.2,39.1,52.2,90.9,51.2,39.4,78.1,成交活跃、市值稳定性较高
sz300192,300192,sz,科德教育,17.09,-3.34,3.26,1.04,71.46,7.89,20.78,16.73,56.65,46.24,13.23,256820000.0,7875000000.0,7783000000.0,55.2,99.4,10.4,52.0,83.8,16.6,13.1,中期趋势靠前、量比与换手适中
sh601216,601216,sh,君正集团,4.63,3.58,0.76,4.16,12.75,1.42,5.95,2.21,-2.32,-3.74,4.28,297080000.0,39068000000.0,39068000000.0,55.1,29.3,85.8,58.2,29.5,84.6,75.6,估值相对占优、市值稳定性较高
sz001696,001696,sz,宗申动力,15.07,0.4,1.68,0.95,28.25,3.24,-0.72,-12.84,3.65,4.65,-29.87,224210000.0,17256000000.0,13433000000.000002,55.1,56.6,48.0,43.9,69.4,70.0,44.6,趋势因子相对较强
sz002478,002478,sz,常宝股份,6.85,-1.01,3.79,2.59,17.06,1.04,5.38,8.56,9.95,-1.61,-17.18,187750000.0,6171000000.0,4952000000.0,55.0,54.6,84.0,34.9,73.8,49.9,5.0,估值相对占优、量比与换手适中
sh600409,600409,sh,三友化工,7.0,0.72,1.05,1.89,78.48,1.03,3.7,1.3,5.11,11.64,13.64,149880000.0,14450000000.0,14450000000.0,55.0,69.4,46.2,24.0,68.0,74.6,36.6,趋势因子相对较强
sh600499,600499,sh,科达制造,14.58,2.24,1.23,2.33,15.13,2.11,3.99,1.11,-12.43,-6.24,7.44,343700000.0,27962000000.0,27962000000.0,54.9,18.2,73.4,64.3,59.6,96.3,65.8,估值相对占优
sh603198,603198,sh,迎驾贡酒,38.13,-3.37,0.71,2.53,15.12,2.88,-3.47,-9.06,4.04,8.17,0.18,217090000.0,30504000000.000004,30504000000.000004,54.9,63.6,66.8,42.7,51.0,16.1,68.1,估值因子相对较强
sz002083,002083,sz,孚日股份,10.21,0.1,2.25,1.07,16.5,2.0,-6.59,-12.74,-14.06,8.59,-12.08,215420000.0,9665000000.0,9662000000.0,54.9,46.3,73.1,41.9,76.6,65.7,20.1,估值相对占优、量比与换手适中
sz301207,301207,sz,华兰疫苗,17.93,2.63,1.78,1.76,57.47,2.05,2.52,0.06,3.22,6.04,0.52,194720000.0,10776000000.0,10770000000.0,54.9,58.8,40.3,36.7,76.7,98.1,24.0,量比与换手适中
